client ID: 1, money: 10
client ID: 2, money: 7
client ID: 3, money: 2
client ID: 4, money: 4
client ID: 5, money: 1
client ID: 6, money: 9
client ID: 7, money: 8
client ID: 8, money: 7
client ID: 9, money: 2
client ID: 10, money: 9
client ID: 11, money: 3
client ID: 12, money: 9
client ID: 13, money: 10
client ID: 14, money: 11
client ID: 15, money: 7
client ID: 16, money: 1
client ID: 17, money: 6
client ID: 18, money: 3
client ID: 19, money: 2
client ID: 20, money: 7
client ID: 21, money: 6
client ID: 22, money: 9
client ID: 23, money: 2
client ID: 24, money: 3
client ID: 25, money: 1
client ID: 26, money: 6
client ID: 27, money: 7
client ID: 28, money: 1
client ID: 29, money: 1
client ID: 30, money: 6
client ID: 31, money: 2
client ID: 32, money: 3
client ID: 33, money: 10
client ID: 34, money: 2
client ID: 35, money: 8
client ID: 36, money: 9
client ID: 37, money: 9
client ID: 38, money: 9
client ID: 39, money: 6
client ID: 40, money: 3
client ID: 41, money: 8
client ID: 42, money: 11
client ID: 43, money: 8
client ID: 44, money: 1
client ID: 45, money: 11
client ID: 46, money: 11
client ID: 47, money: 9
client ID: 48, money: 9
client ID: 49, money: 10
client ID: 50, money: 10
client ID: 51, money: 3
client ID: 52, money: 9
client ID: 53, money: 9
client ID: 54, money: 3
client ID: 55, money: 3
client ID: 56, money: 2
client ID: 57, money: 9
client ID: 58, money: 9
client ID: 59, money: 7
client ID: 60, money: 3
client ID: 61, money: 3
client ID: 62, money: 2
client ID: 63, money: 9
client ID: 64, money: 6
client ID: 65, money: 2
client ID: 66, money: 11
client ID: 67, money: 10
client ID: 68, money: 11
client ID: 69, money: 6
client ID: 70, money: 3
client ID: 71, money: 10
client ID: 72, money: 10
client ID: 73, money: 1
client ID: 74, money: 8
client ID: 75, money: 4
client ID: 76, money: 2
client ID: 77, money: 9
client ID: 78, money: 11
client ID: 79, money: 9
client ID: 80, money: 2

top 1: Argentine-Asado-Club, selling 77
top 2: Hot-Chocolate, selling 14
top 3: Steak-Blue-Cheese, selling 42
top 4: Rio-Grande-Beef-Sub, selling 54
top 5: Ceasars-Salad, selling 24

number of customers: 80, total revenue: 495
